species	genus	family
Filipendula vulgaris	Filipendula	Rosaceae
Flueggea tinctoria	Flueggea	Phyllanthaceae
Foeniculum vulgare	Foeniculum	Apiaceae
Fragaria vesca	Fragaria	Rosaceae
Frangula alnus	Frangula	Rhamnaceae
Frankenia laevis	Frankenia	Frankeniaceae
Frankenia pulverulenta	Frankenia	Frankeniaceae
Fraxinus angustifolia	Fraxinus	Oleaceae
Fritillaria lusitanica	Fritillaria	Liliaceae
Fuchsia magellanica	Fuchsia	Onagraceae
Fumana ericifolia	Fumana	Cistaceae
Fumana laevipes	Fumana	Cistaceae
Fumana procumbens	Fumana	Cistaceae
Fumana thymifolia	Fumana	Cistaceae
Fumaria agraria	Fumaria	Papaveraceae
Fumaria bastardii	Fumaria	Papaveraceae
Fumaria capreolata	Fumaria	Papaveraceae
Fumaria densiflora	Fumaria	Papaveraceae
Fumaria muralis	Fumaria	Papaveraceae
Fumaria officinalis	Fumaria	Papaveraceae
Fumaria parviflora	Fumaria	Papaveraceae
Gagea bohemica	Gagea	Liliaceae
Gagea pratensis	Gagea	Liliaceae
Galega officinalis	Galega	Fabaceae
Galeopsis tetrahit	Galeopsis	Lamiaceae
Galinsoga parviflora	Galinsoga	Asteraceae
Galinsoga quadriradiata	Galinsoga	Asteraceae
Galium aparine	Galium	Rubiaceae
Galium glaucum	Galium	Rubiaceae
Galium lucidum	Galium	Rubiaceae
Galium mollugo	Galium	Rubiaceae
Galium murale	Galium	Rubiaceae
Galium palustre	Galium	Rubiaceae
Galium parisiense	Galium	Rubiaceae
Galium rotundifolium	Galium	Rubiaceae
Galium saxatile	Galium	Rubiaceae
Galium tricornutum	Galium	Rubiaceae
Galium verrucosum	Galium	Rubiaceae
Galium verum	Galium	Rubiaceae
Gamochaeta pensylvanica	Gamochaeta	Asteraceae
Gaudinia fragilis	Gaudinia	Poaceae
Gazania rigens	Gazania	Asteraceae
Genista anglica	Genista	Fabaceae
Genista falcata	Genista	Fabaceae
Genista florida	Genista	Fabaceae
Genista hirsuta	Genista	Fabaceae
Genista hystrix	Genista	Fabaceae
Genista polyanthos	Genista	Fabaceae
Genista scorpius	Genista	Fabaceae
Genista tournefortii	Genista	Fabaceae
Genista triacanthos	Genista	Fabaceae
Gennaria diphylla	Gennaria	Orchidaceae
Gentiana lutea	Gentiana	Gentianaceae
Gentiana pneumonanthe	Gentiana	Gentianaceae
Geranium columbinum	Geranium	Geraniaceae
Geranium dissectum	Geranium	Geraniaceae
Geranium lucidum	Geranium	Geraniaceae
Geranium molle	Geranium	Geraniaceae
Geranium purpureum	Geranium	Geraniaceae
Geranium pusillum	Geranium	Geraniaceae
Geranium pyrenaicum	Geranium	Geraniaceae
Geranium robertianum	Geranium	Geraniaceae
Geranium rotundifolium	Geranium	Geraniaceae
Geranium sanguineum	Geranium	Geraniaceae
Geum sylvaticum	Geum	Rosaceae
Geum urbanum	Geum	Rosaceae
Gladiolus illyricus	Gladiolus	Iridaceae
Gladiolus italicus	Gladiolus	Iridaceae
Glaucium corniculatum	Glaucium	Papaveraceae
Glaucium flavum	Glaucium	Papaveraceae
Glechoma hederacea	Glechoma	Lamiaceae
Gleditsia triacanthos	Gleditsia	Fabaceae
Globularia alypum	Globularia	Plantaginaceae
Globularia vulgaris	Globularia	Plantaginaceae
Glyceria declinata	Glyceria	Poaceae
Glyceria fluitans	Glyceria	Poaceae
Glycyrrhiza glabra	Glycyrrhiza	Fabaceae
Gnaphalium uliginosum	Gnaphalium	Asteraceae
Gomphocarpus fruticosus	Gomphocarpus	Apocynaceae
Gomphocarpus physocarpus	Gomphocarpus	Apocynaceae
Gratiola officinalis	Gratiola	Plantaginaceae
Groenlandia densa	Groenlandia	Potamogetonaceae
Gymnadenia conopsea	Gymnadenia	Orchidaceae
Hakea salicifolia	Hakea	Proteaceae
Halimium calycinum	Halimium	Cistaceae
Halimium halimifolium	Halimium	Cistaceae
Halimium lasianthum	Halimium	Cistaceae
Halimium ocymoides	Halimium	Cistaceae
Halimium umbellatum	Halimium	Cistaceae
Haplophyllum linifolium	Haplophyllum	Rutaceae
Hedera hibernica	Hedera	Araliaceae
Helianthemum aegyptiacum	Helianthemum	Cistaceae
Helianthemum apenninum	Helianthemum	Cistaceae
Helianthemum cinereum	Helianthemum	Cistaceae
Helianthemum hirtum	Helianthemum	Cistaceae
Helianthemum ledifolium	Helianthemum	Cistaceae
Helianthemum marifolium	Helianthemum	Cistaceae
Helianthemum nummularium	Helianthemum	Cistaceae
Helianthemum salicifolium	Helianthemum	Cistaceae
Helianthus annuus	Helianthus	Asteraceae
Helichrysum foetidum	Helichrysum	Asteraceae
Helichrysum italicum	Helichrysum	Asteraceae
Helichrysum stoechas	Helichrysum	Asteraceae
Heliotropium curassavicum	Heliotropium	Heliotropiaceae
Heliotropium europaeum	Heliotropium	Heliotropiaceae
Helleborus foetidus	Helleborus	Ranunculaceae
Heracleum sphondylium	Heracleum	Apiaceae
Herniaria cinerea	Herniaria	Caryophyllaceae
Herniaria glabra	Herniaria	Caryophyllaceae
Hesperis laciniata	Hesperis	Brassicaceae
Hieracium amplexicaule	Hieracium	Asteraceae
Hieracium lachenalii	Hieracium	Asteraceae
Hieracium laevigatum	Hieracium	Asteraceae
Hieracium murorum	Hieracium	Asteraceae
Hieracium sabaudum	Hieracium	Asteraceae
Hieracium umbellatum	Hieracium	Asteraceae
Hippocrepis biflora	Hippocrepis	Fabaceae
Hippocrepis ciliata	Hippocrepis	Fabaceae
Hirschfeldia incana	Hirschfeldia	Brassicaceae
Hispidella hispanica	Hispidella	Asteraceae
Holcus lanatus	Holcus	Poaceae
Holcus mollis	Holcus	Poaceae
Holosteum umbellatum	Holosteum	Caryophyllaceae
Honckenya peploides	Honckenya	Caryophyllaceae
Hordeum geniculatum	Hordeum	Poaceae
Hordeum marinum	Hordeum	Poaceae
Hordeum murinum	Hordeum	Poaceae
Hordeum secalinum	Hordeum	Poaceae
Hornungia petraea	Hornungia	Brassicaceae
Humulus lupulus	Humulus	Cannabaceae
Hyacinthoides hispanica	Hyacinthoides	Asparagaceae
Hyacinthoides non-scripta	Hyacinthoides	Asparagaceae
Hydrangea macrophylla	Hydrangea	Hydrangeaceae
Hydrocotyle bonariensis	Hydrocotyle	Apiaceae
Hydrocotyle vulgaris	Hydrocotyle	Apiaceae
Hyoscyamus albus	Hyoscyamus	Solanaceae
Hyoscyamus niger	Hyoscyamus	Solanaceae
Hyparrhenia hirta	Hyparrhenia	Poaceae
Hypecoum imberbe	Hypecoum	Papaveraceae
Hypericum androsaemum	Hypericum	Hypericaceae
Hypericum calycinum	Hypericum	Hypericaceae
Hypericum elodes	Hypericum	Hypericaceae
Hypericum humifusum	Hypericum	Hypericaceae
Hypericum linariifolium	Hypericum	Hypericaceae
Hypericum montanum	Hypericum	Hypericaceae
Hypericum perfoliatum	Hypericum	Hypericaceae
Hypericum perforatum	Hypericum	Hypericaceae
Hypericum pulchrum	Hypericum	Hypericaceae
Hypericum tomentosum	Hypericum	Hypericaceae
Hypochaeris glabra	Hypochaeris	Asteraceae
Hypochaeris radicata	Hypochaeris	Asteraceae
Iberis ciliata	Iberis	Brassicaceae
Iberis procumbens	Iberis	Brassicaceae
Ilex aquifolium	Ilex	Aquifoliaceae
Illecebrum verticillatum	Illecebrum	Caryophyllaceae
Inula montana	Inula	Asteraceae
Inula salicina	Inula	Asteraceae
Ipomoea indica	Ipomoea	Convolvulaceae
Ipomoea purpurea	Ipomoea	Convolvulaceae
Iris albicans	Iris	Iridaceae
Iris foetidissima	Iris	Iridaceae
Iris germanica	Iris	Iridaceae
Iris planifolia	Iris	Iridaceae
Iris pseudacorus	Iris	Iridaceae
Iris xiphium	Iris	Iridaceae
Isatis tinctoria	Isatis	Brassicaceae
Isolepis fluitans	Isolepis	Cyperaceae
Isolepis setacea	Isolepis	Cyperaceae
Jasione crispa	Jasione	Campanulaceae
Jasione laevis	Jasione	Campanulaceae
Jasione maritima	Jasione	Campanulaceae
Jasione montana	Jasione	Campanulaceae
Jasonia tuberosa	Jasonia	Asteraceae
Juglans regia	Juglans	Juglandaceae
Juncus acutiflorus	Juncus	Juncaceae
Juncus acutus	Juncus	Juncaceae
Juncus articulatus	Juncus	Juncaceae
Juncus bufonius	Juncus	Juncaceae
Juncus bulbosus	Juncus	Juncaceae
Juncus capitatus	Juncus	Juncaceae
Juncus conglomeratus	Juncus	Juncaceae
Juncus effusus	Juncus	Juncaceae
Juncus hybridus	Juncus	Juncaceae
Juncus inflexus	Juncus	Juncaceae
Juncus maritimus	Juncus	Juncaceae
Juncus pygmaeus	Juncus	Juncaceae
Juncus ranarius	Juncus	Juncaceae
Juncus squarrosus	Juncus	Juncaceae
Juncus subnodulosus	Juncus	Juncaceae
Juncus tenageia	Juncus	Juncaceae
Juncus tenuis	Juncus	Juncaceae
Juniperus communis	Juniperus	Cupressaceae
Juniperus oxycedrus	Juniperus	Cupressaceae
Jurinea humilis	Jurinea	Asteraceae
Kalanchoe daigremontiana	Kalanchoe	Crassulaceae
Kickxia elatine	Kickxia	Plantaginaceae
Kickxia lanigera	Kickxia	Plantaginaceae
Kickxia spuria	Kickxia	Plantaginaceae
Klasea flavescens	Klasea	Asteraceae
Knautia nevadensis	Knautia	Caprifoliaceae
Koeleria vallesiana	Koeleria	Poaceae
Kundmannia sicula	Kundmannia	Apiaceae
Lactuca saligna	Lactuca	Asteraceae
Lactuca serriola	Lactuca	Asteraceae
Lactuca viminea	Lactuca	Asteraceae
Lactuca virosa	Lactuca	Asteraceae
Lagoecia cuminoides	Lagoecia	Apiaceae
Lagurus ovatus	Lagurus	Poaceae
Lamarckia aurea	Lamarckia	Poaceae
Lamium amplexicaule	Lamium	Lamiaceae
Lamium bifidum	Lamium	Lamiaceae
Lamium maculatum	Lamium	Lamiaceae
Lamium purpureum	Lamium	Lamiaceae
Lantana camara	Lantana	Verbenaceae
Lapsana communis	Lapsana	Asteraceae
Lathyrus angulatus	Lathyrus	Fabaceae
Lathyrus annuus	Lathyrus	Fabaceae
Lathyrus aphaca	Lathyrus	Fabaceae
Lathyrus cicera	Lathyrus	Fabaceae
Lathyrus clymenum	Lathyrus	Fabaceae
Lathyrus hirsutus	Lathyrus	Fabaceae
Lathyrus latifolius	Lathyrus	Fabaceae
Lathyrus linifolius	Lathyrus	Fabaceae
Lathyrus niger	Lathyrus	Fabaceae
Lathyrus nissolia	Lathyrus	Fabaceae
Lathyrus ochrus	Lathyrus	Fabaceae
Lathyrus odoratus	Lathyrus	Fabaceae
Lathyrus pratensis	Lathyrus	Fabaceae
Lathyrus setifolius	Lathyrus	Fabaceae
Lathyrus sphaericus	Lathyrus	Fabaceae
Lathyrus sylvestris	Lathyrus	Fabaceae
Lathyrus tingitanus	Lathyrus	Fabaceae
Laurus nobilis	Laurus	Lauraceae
Lavandula latifolia	Lavandula	Lamiaceae
Lavandula multifida	Lavandula	Lamiaceae
Lavandula pedunculata	Lavandula	Lamiaceae
Lavandula stoechas	Lavandula	Lamiaceae
Lavandula viridis	Lavandula	Lamiaceae
Leersia oryzoides	Leersia	Poaceae
Legousia hybrida	Legousia	Campanulaceae
Lemna gibba	Lemna	Araceae
Lemna minor	Lemna	Araceae
Lemna minuta	Lemna	Araceae
Leontodon hispidus	Leontodon	Asteraceae
Leontodon tuberosus	Leontodon	Asteraceae
Lepidium graminifolium	Lepidium	Brassicaceae
Lepidium heterophyllum	Lepidium	Brassicaceae
Lepidium latifolium	Lepidium	Brassicaceae
Lepidium ruderale	Lepidium	Brassicaceae
Lepidium sativum	Lepidium	Brassicaceae
Lepidium virginicum	Lepidium	Brassicaceae
Lepidophorum repandum	Lepidophorum	Asteraceae
Leucanthemum ircutianum	Leucanthemum	Asteraceae
Leucanthemum vulgare	Leucanthemum	Asteraceae
Ligustrum lucidum	Ligustrum	Oleaceae
Ligustrum vulgare	Ligustrum	Oleaceae
Lilium martagon	Lilium	Liliaceae
Limodorum abortivum	Limodorum	Orchidaceae
Limodorum trabutianum	Limodorum	Orchidaceae
Limoniastrum monopetalum	Limoniastrum	Plumbaginaceae
Limonium echioides	Limonium	Plumbaginaceae
Limonium sinuatum	Limonium	Plumbaginaceae
Limonium virgatum	Limonium	Plumbaginaceae
Limonium vulgare	Limonium	Plumbaginaceae
Linaria aeruginea	Linaria	Plantaginaceae
Linaria amethystea	Linaria	Plantaginaceae
Linaria elegans	Linaria	Plantaginaceae
Linaria hirta	Linaria	Plantaginaceae
Linaria incarnata	Linaria	Plantaginaceae
Linaria micrantha	Linaria	Plantaginaceae
Linaria polygalifolia	Linaria	Plantaginaceae
Linaria ricardoi	Linaria	Plantaginaceae
Linaria saxatilis	Linaria	Plantaginaceae
Linaria spartea	Linaria	Plantaginaceae
Linaria supina	Linaria	Plantaginaceae
Linaria triornithophora	Linaria	Plantaginaceae
Lindernia dubia	Lindernia	Linderniaceae
Linum austriacum	Linum	Linaceae
Linum bienne	Linum	Linaceae
Linum catharticum	Linum	Linaceae
Linum narbonense	Linum	Linaceae
Linum strictum	Linum	Linaceae
Linum trigynum	Linum	Linaceae
Littorella uniflora	Littorella	Plantaginaceae
Lobelia erinus	Lobelia	Campanulaceae
Lobelia urens	Lobelia	Campanulaceae
Lobularia maritima	Lobularia	Brassicaceae
Logfia gallica	Logfia	Asteraceae
Logfia minima	Logfia	Asteraceae
Lolium multiflorum	Lolium	Poaceae
Lolium perenne	Lolium	Poaceae
Lomelosia simplex	Lomelosia	Caprifoliaceae
Lomelosia stellata	Lomelosia	Caprifoliaceae
Lonicera etrusca	Lonicera	Caprifoliaceae
Lonicera implexa	Lonicera	Caprifoliaceae
Lonicera periclymenum	Lonicera	Caprifoliaceae
Lotus corniculatus	Lotus	Fabaceae
Lotus creticus	Lotus	Fabaceae
Lotus edulis	Lotus	Fabaceae
Lotus ornithopodioides	Lotus	Fabaceae
Lotus pedunculatus	Lotus	Fabaceae
Ludwigia palustris	Ludwigia	Onagraceae
Lunaria annua	Lunaria	Brassicaceae
Lupinus angustifolius	Lupinus	Fabaceae
Lupinus cosentinii	Lupinus	Fabaceae
Lupinus gredensis	Lupinus	Fabaceae
Lupinus hispanicus	Lupinus	Fabaceae
Lupinus luteus	Lupinus	Fabaceae
Luzula campestris	Luzula	Juncaceae
Luzula forsteri	Luzula	Juncaceae
Luzula multiflora	Luzula	Juncaceae
Luzula sylvatica	Luzula	Juncaceae
Lycium europaeum	Lycium	Solanaceae
Lycopodiella inundata	Lycopodiella	Lycopodiaceae
Lycopodium clavatum	Lycopodium	Lycopodiaceae
Lycopus europaeus	Lycopus	Lamiaceae
Lysimachia ephemerum	Lysimachia	Primulaceae
Lysimachia nemorum	Lysimachia	Primulaceae
Lysimachia vulgaris	Lysimachia	Primulaceae
Lythrum hyssopifolia	Lythrum	Lythraceae
Lythrum junceum	Lythrum	Lythraceae
Lythrum portula	Lythrum	Lythraceae
Lythrum salicaria	Lythrum	Lythraceae
Malcolmia littorea	Malcolmia	Brassicaceae
Malus sylvestris	Malus	Rosaceae
Malva hispanica	Malva	Malvaceae
Malva neglecta	Malva	Malvaceae
Malva nicaeensis	Malva	Malvaceae
Malva parviflora	Malva	Malvaceae
Malva sylvestris	Malva	Malvaceae
Malva tournefortiana	Malva	Malvaceae
Mantisalca salmantica	Mantisalca	Asteraceae
Marrubium vulgare	Marrubium	Lamiaceae
Marsilea quadrifolia	Marsilea	Marsileaceae
Matthiola fruticulosa	Matthiola	Brassicaceae
Matthiola incana	Matthiola	Brassicaceae
Matthiola sinuata	Matthiola	Brassicaceae
Medicago arabica	Medicago	Fabaceae
Medicago arborea	Medicago	Fabaceae
Medicago falcata	Medicago	Fabaceae
Medicago littoralis	Medicago	Fabaceae
Medicago lupulina	Medicago	Fabaceae
Medicago marina	Medicago	Fabaceae
Medicago minima	Medicago	Fabaceae
Medicago orbicularis	Medicago	Fabaceae
Medicago polymorpha	Medicago	Fabaceae
Medicago rigidula	Medicago	Fabaceae
Medicago sativa	Medicago	Fabaceae
Medicago truncatula	Medicago	Fabaceae
Melampyrum pratense	Melampyrum	Orobanchaceae
Melica ciliata	Melica	Poaceae
Melica minuta	Melica	Poaceae
Melica uniflora	Melica	Poaceae
Melilotus albus	Melilotus	Fabaceae
Melilotus indicus	Melilotus	Fabaceae
Melilotus officinalis	Melilotus	Fabaceae
Melilotus segetalis	Melilotus	Fabaceae
Melissa officinalis	Melissa	Lamiaceae
Melittis melissophyllum	Melittis	Lamiaceae
Mentha aquatica	Mentha	Lamiaceae
Mentha cervina	Mentha	Lamiaceae
Mentha pulegium	Mentha	Lamiaceae
Mentha spicata	Mentha	Lamiaceae
Mentha suaveolens	Mentha	Lamiaceae
Menyanthes trifoliata	Menyanthes	Menyanthaceae
Mercurialis perennis	Mercurialis	Euphorbiaceae
Mercurialis tomentosa	Mercurialis	Euphorbiaceae
Mesembryanthemum crystallinum	Mesembryanthemum	Aizoaceae
Mesembryanthemum nodiflorum	Mesembryanthemum	Aizoaceae
Mibora minima	Mibora	Poaceae
Micromeria graeca	Micromeria	Lamiaceae
Milium vernale	Milium	Poaceae
Minuartia recurva	Minuartia	Caryophyllaceae
Mirabilis jalapa	Mirabilis	Nyctaginaceae
Misopates calycinum	Misopates	Plantaginaceae
Misopates orontium	Misopates	Plantaginaceae
Moehringia trinervia	Moehringia	Caryophyllaceae
Moenchia erecta	Moenchia	Caryophyllaceae
Molinia caerulea	Molinia	Poaceae
Montia fontana	Montia	Montiaceae
Moricandia arvensis	Moricandia	Brassicaceae
Muscari comosum	Muscari	Asparagaceae
Muscari neglectum	Muscari	Asparagaceae
Myosotis arvensis	Myosotis	Boraginaceae
Myosotis discolor	Myosotis	Boraginaceae
Myosotis laxa	Myosotis	Boraginaceae
Myosotis persoonii	Myosotis	Boraginaceae
Myosotis ramosissima	Myosotis	Boraginaceae
Myrica gale	Myrica	Myricaceae
Myriophyllum alterniflorum	Myriophyllum	Haloragaceae
Myriophyllum aquaticum	Myriophyllum	Haloragaceae
Myriophyllum spicatum	Myriophyllum	Haloragaceae
Myriophyllum verticillatum	Myriophyllum	Haloragaceae
Myrtus communis	Myrtus	Myrtaceae
Najas marina	Najas	Hydrocharitaceae
Najas minor	Najas	Hydrocharitaceae
Narcissus bulbocodium	Narcissus	Amaryllidaceae
Narcissus cyclamineus	Narcissus	Amaryllidaceae
Narcissus jonquilla	Narcissus	Amaryllidaceae
Narcissus papyraceus	Narcissus	Amaryllidaceae
Narcissus pseudonarcissus	Narcissus	Amaryllidaceae
Narcissus rupicola	Narcissus	Amaryllidaceae
Narcissus serotinus	Narcissus	Amaryllidaceae
Narcissus tazetta	Narcissus	Amaryllidaceae
Narcissus triandrus	Narcissus	Amaryllidaceae
Nardus stricta	Nardus	Poaceae
Narthecium ossifragum	Narthecium	Nartheciaceae
Neatostema apulum	Neatostema	Boraginaceae
Neotinea maculata	Neotinea	Orchidaceae
Neottia nidus-avis	Neottia	Orchidaceae
Nepeta tuberosa	Nepeta	Lamiaceae
Nerium oleander	Nerium	Apocynaceae
Nicotiana glauca	Nicotiana	Solanaceae
Nigella damascena	Nigella	Ranunculaceae
Nonea vesicaria	Nonea	Boraginaceae
Nothoscordum gracile	Nothoscordum	Amaryllidaceae
Notobasis syriaca	Notobasis	Asteraceae
Nymphaea alba	Nymphaea	Nymphaeaceae
Nymphoides peltata	Nymphoides	Menyanthaceae
Odontites vernus	Odontites	Orobanchaceae
Odontites viscosus	Odontites	Orobanchaceae
Oenanthe crocata	Oenanthe	Apiaceae
Oenanthe fistulosa	Oenanthe	Apiaceae
Oenanthe globulosa	Oenanthe	Apiaceae
Oenanthe lachenalii	Oenanthe	Apiaceae
Oenanthe pimpinelloides	Oenanthe	Apiaceae
Oenothera biennis	Oenothera	Onagraceae
Oenothera glazioviana	Oenothera	Onagraceae
Oenothera rosea	Oenothera	Onagraceae
Oenothera stricta	Oenothera	Onagraceae
Olea europaea	Olea	Oleaceae
Omphalodes nitida	Omphalodes	Boraginaceae
Onobrychis humilis	Onobrychis	Fabaceae
Onobrychis viciifolia	Onobrychis	Fabaceae
Ononis mitissima	Ononis	Fabaceae
Ononis natrix	Ononis	Fabaceae
Ononis pubescens	Ononis	Fabaceae
Ononis pusilla	Ononis	Fabaceae
Ononis ramosissima	Ononis	Fabaceae
Ononis reclinata	Ononis	Fabaceae
Ononis spinosa	Ononis	Fabaceae
Ononis variegata	Ononis	Fabaceae
Ononis viscosa	Ononis	Fabaceae
Onopordum acanthium	Onopordum	Asteraceae
Onopordum illyricum	Onopordum	Asteraceae
Onopordum nervosum	Onopordum	Asteraceae
Onosma tricerosperma	Onosma	Boraginaceae
Ophioglossum lusitanicum	Ophioglossum	Ophioglossaceae
Ophioglossum vulgatum	Ophioglossum	Ophioglossaceae
Ophrys apifera	Ophrys	Orchidaceae
Ophrys bombyliflora	Ophrys	Orchidaceae
Ophrys fusca	Ophrys	Orchidaceae
Ophrys lutea	Ophrys	Orchidaceae
Ophrys scolopax	Ophrys	Orchidaceae
Ophrys speculum	Ophrys	Orchidaceae
Ophrys sphegodes	Ophrys	Orchidaceae
Ophrys tenthredinifera	Ophrys	Orchidaceae
Orchis italica	Orchis	Orchidaceae
Orchis mascula	Orchis	Orchidaceae
Orchis morio	Orchis	Orchidaceae
Orchis provincialis	Orchis	Orchidaceae
Origanum vulgare	Origanum	Lamiaceae
Orlaya daucoides	Orlaya	Apiaceae
Ornithogalum arabicum	Ornithogalum	Asparagaceae
Ornithogalum broteroi	Ornithogalum	Asparagaceae
Ornithogalum concinnum	Ornithogalum	Asparagaceae
Ornithogalum narbonense	Ornithogalum	Asparagaceae
Ornithogalum orthophyllum	Ornithogalum	Asparagaceae
Ornithogalum pyrenaicum	Ornithogalum	Asparagaceae
Ornithopus compressus	Ornithopus	Fabaceae
Ornithopus perpusillus	Ornithopus	Fabaceae
Ornithopus sativus	Ornithopus	Fabaceae
Orobanche crenata	Orobanche	Orobanchaceae
Orobanche foetida	Orobanche	Orobanchaceae
Orobanche gracilis	Orobanche	Orobanchaceae
Orobanche hederae	Orobanche	Orobanchaceae
Orobanche latisquama	Orobanche	Orobanchaceae
Orobanche minor	Orobanche	Orobanchaceae
Orobanche rapum-genistae	Orobanche	Orobanchaceae
Osmunda regalis	Osmunda	Osmundaceae
Osyris alba	Osyris	Santalaceae
Osyris lanceolata	Osyris	Santalaceae
Otanthus maritimus	Otanthus	Asteraceae
Oxalis acetosella	Oxalis	Oxalidaceae
Oxalis articulata	Oxalis	Oxalidaceae
Oxalis corniculata	Oxalis	Oxalidaceae
Oxalis debilis	Oxalis	Oxalidaceae
Oxalis exilis	Oxalis	Oxalidaceae
Oxalis latifolia	Oxalis	Oxalidaceae
Oxalis pes-caprae	Oxalis	Oxalidaceae
Oxalis purpurea	Oxalis	Oxalidaceae
Paeonia broteri	Paeonia	Paeoniaceae
Paeonia officinalis	Paeonia	Paeoniaceae
Pallenis spinosa	Pallenis	Asteraceae
Pancratium maritimum	Pancratium	Amaryllidaceae
Papaver argemone	Papaver	Papaveraceae
Papaver dubium	Papaver	Papaveraceae
Papaver hybridum	Papaver	Papaveraceae
Papaver pinnatifidum	Papaver	Papaveraceae
Papaver rhoeas	Papaver	Papaveraceae
Papaver somniferum	Papaver	Papaveraceae
Parapholis incurva	Parapholis	Poaceae
Parapholis strigosa	Parapholis	Poaceae
Paraserianthes lophantha	Paraserianthes	Fabaceae
Parentucellia latifolia	Parentucellia	Orobanchaceae
Parentucellia viscosa	Parentucellia	Orobanchaceae
Parietaria judaica	Parietaria	Urticaceae
Paronychia argentea	Paronychia	Caryophyllaceae
Paronychia capitata	Paronychia	Caryophyllaceae
Paspalum dilatatum	Paspalum	Poaceae
Paspalum distichum	Paspalum	Poaceae
Passiflora caerulea	Passiflora	Passifloraceae
Pastinaca sativa	Pastinaca	Apiaceae
Pedicularis sylvatica	Pedicularis	Orobanchaceae
Pentaglottis sempervirens	Pentaglottis	Boraginaceae
Petrorhagia dubia	Petrorhagia	Caryophyllaceae
Petrorhagia nanteuilii	Petrorhagia	Caryophyllaceae
Petrorhagia saxifraga	Petrorhagia	Caryophyllaceae
Peucedanum officinale	Peucedanum	Apiaceae
Peucedanum oreoselinum	Peucedanum	Apiaceae
Phagnalon rupestre	Phagnalon	Asteraceae
Phagnalon saxatile	Phagnalon	Asteraceae
Phalaris arundinacea	Phalaris	Poaceae
Phillyrea angustifolia	Phillyrea	Oleaceae
Phillyrea latifolia	Phillyrea	Oleaceae
Phleum arenarium	Phleum	Poaceae
Phleum phleoides	Phleum	Poaceae
Phleum pratense	Phleum	Poaceae
Phlomis herba-venti	Phlomis	Lamiaceae
Phlomis lychnitis	Phlomis	Lamiaceae
Phlomis purpurea	Phlomis	Lamiaceae
Phoenix canariensis	Phoenix	Arecaceae
Phragmites australis	Phragmites	Poaceae
Physospermum cornubiense	Physospermum	Apiaceae
Phytolacca americana	Phytolacca	Phytolaccaceae
Phytolacca heterotepala	Phytolacca	Phytolaccaceae
Picnomon acarna	Picnomon	Asteraceae
Picris hieracioides	Picris	Asteraceae
Pilosella officinarum	Pilosella	Asteraceae
Pilularia globulifera	Pilularia	Marsileaceae
Pimpinella major	Pimpinella	Apiaceae
Pimpinella villosa	Pimpinella	Apiaceae
Pinguicula lusitanica	Pinguicula	Lentibulariaceae
Pinguicula vulgaris	Pinguicula	Lentibulariaceae
Pinus halepensis	Pinus	Pinaceae
Pinus pinaster	Pinus	Pinaceae
Pinus pinea	Pinus	Pinaceae
Pinus sylvestris	Pinus	Pinaceae
Piptatherum miliaceum	Piptatherum	Poaceae
Pistacia lentiscus	Pistacia	Anacardiaceae
Pistacia terebinthus	Pistacia	Anacardiaceae
Pistorinia hispanica	Pistorinia	Crassulaceae
Pittosporum tobira	Pittosporum	Pittosporaceae
Pittosporum undulatum	Pittosporum	Pittosporaceae
Plantago afra	Plantago	Plantaginaceae
Plantago albicans	Plantago	Plantaginaceae
Plantago alpina	Plantago	Plantaginaceae
Plantago bellardii	Plantago	Plantaginaceae
Plantago coronopus	Plantago	Plantaginaceae
Plantago lagopus	Plantago	Plantaginaceae
Plantago lanceolata	Plantago	Plantaginaceae
Plantago major	Plantago	Plantaginaceae
Plantago maritima	Plantago	Plantaginaceae
Plantago serraria	Plantago	Plantaginaceae
Platanthera bifolia	Platanthera	Orchidaceae
Platanus hispanica	Platanus	Platanaceae
Platycapnos spicata	Platycapnos	Papaveraceae
Plumbago europaea	Plumbago	Plumbaginaceae
Poa angustifolia	Poa	Poaceae
Poa annua	Poa	Poaceae
Poa bulbosa	Poa	Poaceae
Poa infirma	Poa	Poaceae
Poa nemoralis	Poa	Poaceae
Poa pratensis	Poa	Poaceae
Poa supina	Poa	Poaceae
Poa trivialis	Poa	Poaceae
Polycarpon tetraphyllum	Polycarpon	Caryophyllaceae
Polygala microphylla	Polygala	Polygalaceae
Polygala monspeliaca	Polygala	Polygalaceae
Polygala serpyllifolia	Polygala	Polygalaceae
Polygala vulgaris	Polygala	Polygalaceae
Polygonatum odoratum	Polygonatum	Asparagaceae
Polygonum arenastrum	Polygonum	Polygonaceae
Polygonum aviculare	Polygonum	Polygonaceae
Polygonum equisetiforme	Polygonum	Polygonaceae
Polygonum maritimum	Polygonum	Polygonaceae
Polypodium cambricum	Polypodium	Polypodiaceae
Polypodium interjectum	Polypodium	Polypodiaceae
Polypodium vulgare	Polypodium	Polypodiaceae
Polypogon monspeliensis	Polypogon	Poaceae
Polypogon viridis	Polypogon	Poaceae
Polystichum setiferum	Polystichum	Dryopteridaceae
Populus alba	Populus	Salicaceae
Populus nigra	Populus	Salicaceae
Populus tremula	Populus	Salicaceae
Portulaca oleracea	Portulaca	Portulacaceae
Potamogeton coloratus	Potamogeton	Potamogetonaceae
